,accuracy,f1_score,precision,recall,ml_framework,deep_learning,model_type,depth,num_params,flatten_layers,batchnormalization_layers,dropout_layers,dense_layers,sigmoid_act,relu_act,tanh_act,softmax_act,loss,optimizer,memory_size,team,username,timestamp,version
342,0.4705882352941176,0.4502711323763955,0.5662337662337662,0.4957142857142857,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,9-gbc,ts3338,2023-02-06 22:49:28.923714,536
343,0.4705882352941176,0.4502711323763955,0.5662337662337662,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,6.0,bobbie8881,2023-02-01 21:22:45.804525,111
344,0.4705882352941176,0.4502711323763955,0.5662337662337662,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,9-rfc,ts3338,2023-02-07 16:53:20.891353,739
345,0.4705882352941176,0.4502711323763955,0.5662337662337662,0.4957142857142857,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,9-gbc,ts3338,2023-02-07 16:53:42.409303,740
346,0.4411764705882353,0.4439154704944179,0.583968253968254,0.4557142857142857,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,,sdp2158,2023-02-03 04:37:33.141972,194
347,0.4705882352941176,0.4502711323763955,0.5662337662337662,0.4957142857142857,sklearn,,SVC,,,,,,,,,,,,,,8,hal2148,2023-02-07 16:59:22.874248,745
348,0.4705882352941176,0.4502711323763955,0.5662337662337662,0.4957142857142857,sklearn,,SVC,,,,,,,,,,,,,,9,ts3338,2023-02-06 22:03:37.707305,527
349,0.4705882352941176,0.4502711323763955,0.5662337662337662,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,,sdp2158,2023-02-01 01:27:08.122662,88
350,0.4705882352941176,0.4502711323763955,0.5662337662337662,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,9-rfc,ts3338,2023-02-06 22:10:36.200475,530
351,0.4705882352941176,0.4502711323763955,0.5662337662337662,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,9-gbc,ts3338,2023-02-06 22:10:57.481823,531
352,0.4705882352941176,0.4502711323763955,0.5662337662337662,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,5,xuenricky,2023-02-07 18:43:15.717636,788
353,0.4705882352941176,0.4605704099821747,0.5528205128205128,0.4842857142857142,keras,True,Sequential,3.0,1539.0,,,,3.0,,2.0,,1.0,str,SGD,6968.0,8,hal2148,2023-02-06 05:55:02.786532,453
354,0.4705882352941176,0.4270334928229665,0.6071428571428571,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,8,miles_degrazia,2023-02-07 16:33:43.093270,726
355,0.4705882352941176,0.4270334928229665,0.6071428571428571,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,,eminilkay,2023-02-05 05:15:47.473352,364
356,0.4705882352941176,0.4270334928229665,0.6071428571428571,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,,MengYang,2023-02-07 04:13:37.426548,615
357,0.4411764705882353,0.4468640183346065,0.5801587301587302,0.4442857142857143,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,,sdp2158,2023-02-05 05:08:28.364123,360
358,0.4411764705882353,0.4183660130718953,0.6409090909090909,0.4557142857142857,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,5.0,oliverhegi,2023-02-02 22:50:41.891222,156
359,0.4411764705882353,0.4404655870445344,0.5873015873015873,0.4557142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,6,cj2733,2023-02-07 03:10:25.868871,587
360,0.4705882352941176,0.4371717171717171,0.5806060606060606,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,4,so2638,2023-02-06 19:40:23.396124,512
361,0.4705882352941176,0.471994671994672,0.5356776556776557,0.4842857142857143,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,6.0,bobbie8881,2023-02-03 17:23:34.900972,214
362,0.4705882352941176,0.4371717171717171,0.5806060606060606,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,,peterhi111,2023-01-31 22:45:04.552144,33
363,0.4705882352941176,0.4371717171717171,0.5806060606060606,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,,bobbie8881,2023-02-01 00:24:47.847332,84
364,0.4705882352941176,0.4371717171717171,0.5806060606060606,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,,mikedparrott,2023-01-31 22:46:30.583303,46
365,0.4705882352941176,0.4371717171717171,0.5806060606060606,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,2,rian,2023-02-07 01:27:14.093053,557
366,0.4705882352941176,0.4371717171717171,0.5806060606060606,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,1,tinaz0407,2023-02-07 19:33:51.711835,830
367,0.4705882352941176,0.4371717171717171,0.5806060606060606,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,1,Estelle,2023-02-07 18:00:39.866701,773
368,0.4705882352941176,0.4371717171717171,0.5806060606060606,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,8,hal2148,2023-02-07 03:39:21.097918,602
369,0.4705882352941176,0.4670277091329723,0.5380952380952382,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,,MandyMaaa,2023-02-07 19:28:57.596410,825
370,0.4705882352941176,0.4371717171717171,0.5806060606060606,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,6.0,bobbie8881,2023-02-01 00:26:41.716829,85
371,0.4705882352941176,0.4371717171717171,0.5806060606060606,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,5.0,oliverhegi,2023-02-02 22:07:12.470880,139
372,0.4705882352941176,0.4371717171717171,0.5806060606060606,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,6.0,cj2733,2023-01-31 22:48:15.259559,56
373,0.4705882352941176,0.4371717171717171,0.5806060606060606,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,,so2638,2023-02-02 03:10:31.142117,126
374,0.4705882352941176,0.4371717171717171,0.5806060606060606,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,,timnyt,2023-02-07 06:21:17.574341,656
